"","силова.подготовка","пол","преди.след","оценка"
"1",1,"ж","before",0.14
"2",1,"ж","before",0.17
"3",1,"ж","before",0.27
"4",1,"ж","before",0.2
"5",1,"ж","before",0.14
"6",1,"ж","before",0.38
"7",1,"ж","before",0.13
"8",1,"ж","before",0.4
"9",1,"ж","after",0.29
"10",1,"ж","after",0.31
"11",1,"ж","after",0.36
"12",1,"ж","after",0.4
"13",1,"ж","after",0.33
"14",1,"ж","after",0.33
"15",1,"ж","after",0.33
"16",1,"ж","after",0.33
"17",0,"ж","before",0.01
"18",0,"ж","before",0.09
"19",0,"ж","before",0.17
"20",0,"ж","before",0.2
"21",0,"ж","before",0.17
"22",0,"ж","before",0.22
"23",0,"ж","before",0.22
"24",0,"ж","before",0.25
"25",0,"ж","after",0.01
"26",0,"ж","after",0.01
"27",0,"ж","after",0.09
"28",0,"ж","after",0.13
"29",0,"ж","after",0.01
"30",0,"ж","after",0.14
"31",0,"ж","after",0.13
"32",0,"ж","after",0.01
"33",1,"м","before",0.15
"34",1,"м","before",0.15
"35",1,"м","before",0.2
"36",1,"м","before",0.25
"37",1,"м","before",0.38
"38",1,"м","before",0.25
"39",1,"м","before",0.33
"40",1,"м","before",0.25
"41",1,"м","after",0.27
"42",1,"м","after",0.29
"43",1,"м","after",0.33
"44",1,"м","after",0.56
"45",1,"м","after",0.67
"46",1,"м","after",0.38
"47",1,"м","after",0.5
"48",1,"м","after",0.25
"49",0,"м","before",0.08
"50",0,"м","before",0.14
"51",0,"м","before",0.17
"52",0,"м","before",0.17
"53",0,"м","before",0.01
"54",0,"м","before",0.38
"55",0,"м","before",0.25
"56",0,"м","before",0.17
"57",0,"м","after",0.01
"58",0,"м","after",0.1
"59",0,"м","after",0.1
"60",0,"м","after",0.11
"61",0,"м","after",0.14
"62",0,"м","after",0.14
"63",0,"м","after",0.13
"64",0,"м","after",0.01
