"","силова.подготовка","пол","преди.след","клек","X"
"1",1,"ж","before",1.44,NA
"2",1,"ж","before",1.96,NA
"3",1,"ж","before",1.32,NA
"4",1,"ж","before",1.63,NA
"5",1,"ж","before",2.12,NA
"6",1,"ж","before",1.86,NA
"7",1,"ж","before",2.02,NA
"8",1,"ж","before",2.38,NA
"9",1,"ж","after",2.87,NA
"10",1,"ж","after",2.94,NA
"11",1,"ж","after",2.94,NA
"12",1,"ж","after",3.23,NA
"13",1,"ж","after",3.18,NA
"14",1,"ж","after",3.06,NA
"15",1,"ж","after",3.03,NA
"16",1,"ж","after",3.62,NA
"17",0,"ж","before",1.81,NA
"18",0,"ж","before",2.2,NA
"19",0,"ж","before",1.86,NA
"20",0,"ж","before",2.19,NA
"21",0,"ж","before",1.95,NA
"22",0,"ж","before",2.27,NA
"23",0,"ж","before",2.02,NA
"24",0,"ж","before",2.04,NA
"25",0,"ж","after",2.5,NA
"26",0,"ж","after",2.77,NA
"27",0,"ж","after",2.37,NA
"28",0,"ж","after",2.77,NA
"29",0,"ж","after",2.62,NA
"30",0,"ж","after",2.69,NA
"31",0,"ж","after",2.6,NA
"32",0,"ж","after",2.62,NA
"33",1,"м","before",2.63,NA
"34",1,"м","before",2.41,NA
"35",1,"м","before",2.8,NA
"36",1,"м","before",2.78,NA
"37",1,"м","before",2.92,NA
"38",1,"м","before",3.09,NA
"39",1,"м","before",3.17,NA
"40",1,"м","before",3.09,NA
"41",1,"м","after",3.39,NA
"42",1,"м","after",3.19,NA
"43",1,"м","after",3.22,NA
"44",1,"м","after",3.41,NA
"45",1,"м","after",3.67,NA
"46",1,"м","after",3.88,NA
"47",1,"м","after",4.07,NA
"48",1,"м","after",3.85,NA
"49",0,"м","before",2.44,NA
"50",0,"м","before",2.47,NA
"51",0,"м","before",2.54,NA
"52",0,"м","before",2.81,NA
"53",0,"м","before",2.78,NA
"54",0,"м","before",2.98,NA
"55",0,"м","before",3.09,NA
"56",0,"м","before",3.07,NA
"57",0,"м","after",2.85,NA
"58",0,"м","after",2.97,NA
"59",0,"м","after",2.8,NA
"60",0,"м","after",3.12,NA
"61",0,"м","after",3.32,NA
"62",0,"м","after",3.4,NA
"63",0,"м","after",3.55,NA
"64",0,"м","after",3.46,NA
